ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
498,1,135.0,62,135.0
499,8,1397.0,62,403.84
501,6,490.0,63,180.61
507,10,86.0,63,24.98
502,7,1170.0,63,236.58
503,9,488.0,63,93.3
500,14,30.0,62,9.0
504,5,380.0,63,97.8463
505,1,10.0,63,10.0
508,8,146.0,63,47.01
509,7,26398.0,64,5911.63
510,6,3938.0,64,1403.4636
511,10,1264.0,64,326.1697
517,14,30.0,64,10.5
512,12,345.0,64,121.2
506,12,27.0,63,8.28
515,1,222.0,64,222.0
518,8,863.0,64,273.59
513,9,8117.0,64,1458.41
519,7,5930.0,65,978.76
520,10,629.0,65,119.53
516,5,1095.0,64,270.2756
521,6,1176.0,65,253.77
490,11,30.0,61,23.0
527,7,6480.0,66,1446.3901
528,12,262.0,66,86.19
529,6,1834.0,66,584.5074
537,9,2199.0,67,391.61
522,12,32.0,65,6.89
530,9,4320.0,66,756.3517
538,6,548.0,67,268.98
523,9,1949.0,65,150.15
514,11,616.0,64,164.59
539,10,339.0,67,84.18
540,11,201.0,67,49.68
541,12,87.0,67,29.5082
542,7,3586.0,67,829.4
531,11,457.0,66,134.8461
546,7,6057.0,68,1399.2795
551,6,633.0,68,173.23
532,5,94.0,66,23.6326
547,8,530.0,68,171.577
548,9,2292.0,68,411.869
549,10,313.0,68,93.62
550,5,30.0,68,6.0
543,8,146.0,67,47.01
552,11,118.0,68,28.0173
555,7,31170.0,69,7525.9893
524,11,217.0,65,48.22
525,1,2005.0,65,505.0
533,10,520.0,66,138.71
553,12,19.0,68,5.18
556,9,10219.0,69,1796.5069
557,5,638.0,69,158.3808
558,6,4836.0,69,1643.7201
559,1,171.0,69,171.0
560,10,1984.0,69,484.6324
563,14,100.0,69,31.86
564,8,2941.0,69,783.1883
565,7,2150.0,70,536.08
566,12,19.0,70,5.57
567,9,696.0,70,120.96
534,8,222.0,66,77.5447
568,10,134.0,70,29.88
569,6,260.0,70,81.39
554,1,172.0,68,172.0
570,5,112.0,70,24.68
571,11,45.0,70,10.23
572,1,122.0,70,122.0
573,8,23.0,70,0.0
561,11,847.0,69,240.7101
526,8,45.0,65,0.0
574,6,4440.0,71,1354.0344
575,9,10406.0,71,1705.9848
535,1,8.0,66,8.0
576,7,34185.0,71,7554.3358
562,12,463.0,69,151.6415
584,7,1930.0,72,327.77
582,11,1239.0,71,279.4461
585,10,197.0,72,37.34
577,10,2199.0,71,547.0776
578,5,1283.0,71,312.1814
544,1,13.0,67,13.0
586,6,333.0,72,99.78
587,11,130.0,72,28.83
588,8,105.0,72,23.0
592,9,135.0,72,22.26
579,12,265.0,71,92.2931
536,14,10.0,66,4.93
580,1,561.0,71,559.0
593,9,3110.0,75,524.29
581,8,1407.0,71,300.5386
589,14,20.0,72,4.0
590,12,6.0,72,1.52
591,1,5.0,72,5.0
594,6,807.0,75,286.1608
596,7,3090.0,75,584.08
595,10,375.0,75,83.29
597,12,53.0,75,19.32
599,11,127.0,75,37.2
600,5,40.0,75,12.6678
601,7,800.0,76,115.02
598,8,232.0,75,52.0
602,6,155.0,76,37.25
603,10,60.0,76,15.0
604,11,36.0,76,8.64
605,9,90.0,76,17.18
606,7,1723.0,77,266.43
607,9,425.0,77,70.85
545,5,190.0,67,30.0
608,6,391.0,77,137.45
612,7,87721.0,78,17846.7884
609,12,13.0,77,5.32
610,10,47.0,77,11.49
611,11,44.0,77,12.53
613,9,22756.0,78,4352.1808
614,6,9281.0,78,3166.5175
615,12,1119.0,78,396.963
616,1,756.0,78,758.0
622,7,25700.0,79,4992.36
623,10,1271.0,79,309.859
624,9,8765.0,79,1659.54
632,7,550.0,80,77.53
617,10,5836.0,78,1424.9419
633,9,405.0,80,82.19
635,7,41450.0,81,7505.6006
625,6,4008.0,79,1128.7216
626,1,102.0,79,102.0
618,5,2061.0,78,455.3496
634,6,42.0,80,20.7
636,6,5455.0,81,1796.6419
637,9,11581.0,81,2137.3859
638,10,2779.0,81,664.6056
639,12,540.0,81,190.7683
640,11,1322.0,81,336.341
641,8,2048.0,81,391.165
642,1,419.0,81,419.0
645,6,542.0,82,211.5008
627,12,237.0,79,73.1482
646,10,209.0,82,54.67
644,14,50.0,81,15.93
643,5,814.0,81,210.8234
647,7,1893.0,82,242.14
628,11,857.0,79,232.25
648,12,22.0,82,6.81
649,9,775.0,82,123.41
619,8,3220.0,78,680.8799
650,11,77.0,82,17.06
651,1,25.0,82,25.0
652,6,709.0,83,198.8708
653,1,6.0,83,2.0
654,9,1025.0,83,165.03
655,12,85.0,83,26.68
656,10,211.0,83,51.06
660,9,5969.0,84,1120.6442
657,7,2275.0,83,408.02
661,11,747.0,84,179.37
662,12,470.0,84,157.23
658,11,106.0,83,30.56
670,7,4703.0,85,877.2374
663,6,3025.0,84,956.4614
664,7,19847.0,84,3273.1193
671,11,84.0,85,24.5504
672,6,1299.0,85,429.9277
665,10,1467.0,84,346.68
673,10,433.0,85,99.7237
677,8,220.0,85,53.0
678,7,18647.0,86,3142.38
659,8,60.0,83,18.51
679,10,771.0,86,206.2095
674,9,1515.0,85,290.8452
675,12,27.0,85,11.0471
676,1,22.0,85,26.0
688,6,824.0,87,286.5802
680,9,2435.0,86,442.55
690,7,2728.0,87,487.34
689,10,184.0,87,45.96
681,6,2177.0,86,585.6808
692,9,710.0,87,140.15
691,5,112.0,87,24.68
682,11,461.0,86,117.28
696,14,26.0,87,6.0
697,7,5016.0,88,826.7
698,9,2065.0,88,354.97
699,10,156.0,88,37.45
683,12,125.0,86,44.0
620,14,30.0,78,10.5
693,11,52.0,87,12.54
694,1,4.0,87,4.0
684,8,473.0,86,95.36
666,1,82.0,84,82.0
667,8,1519.0,84,224.197
621,11,2914.0,78,725.7327
583,14,70.0,71,20.0
629,8,1098.0,79,236.47
668,5,46.0,84,6.32
685,1,78.0,86,78.0
695,12,34.0,87,10.14
686,5,595.0,86,130.58
687,14,13.0,86,3.0
700,11,62.0,88,17.0
701,6,995.0,88,352.32
702,12,55.0,88,14.74
703,1,25.0,88,25.0
669,14,40.0,84,15.5
704,14,20.0,88,10.0
705,5,168.0,88,37.02
706,8,22.0,88,6.0
707,7,5055.0,89,803.81
708,10,445.0,89,129.44
709,9,1030.0,89,180.4
710,6,554.0,89,191.1002
711,12,29.0,89,7.74
712,5,300.0,89,69.28
713,11,88.0,89,28.56
714,8,140.0,89,28.7
715,1,5.0,89,5.0
716,7,15079.0,90,2557.165
718,12,229.0,90,78.64
717,9,2745.0,90,505.05
719,6,1750.0,90,545.43
721,10,895.0,90,211.51
720,11,145.0,90,37.56
723,14,10.0,90,5.0
722,1,55.0,90,55.0
726,6,346.0,91,129.08
724,5,190.0,90,30.0
727,12,28.0,91,9.32
728,9,425.0,91,81.88
725,8,900.0,90,186.63
734,7,2620.0,92,366.83
735,6,743.0,92,190.35
736,10,144.0,92,30.73
729,7,1419.0,91,179.17
737,1,16.0,92,16.0
738,9,365.0,92,71.98
740,6,1996.0,93,638.4202
741,1,134.0,93,134.0
742,7,20730.0,93,3233.64
743,9,2988.0,93,569.53
744,12,218.0,93,72.97
739,12,11.0,92,5.65
749,14,40.0,93,8.0
745,10,1049.0,93,243.9084
746,8,2059.0,93,377.35
630,5,227.0,79,4.78
747,11,364.0,93,76.8475
631,14,20.0,79,5.5
730,1,3.0,91,3.0
748,5,97.0,93,25.8278
750,6,506.0,94,141.2604
751,7,1615.0,94,306.77
752,11,122.0,94,35.548
753,9,670.0,94,132.58
757,8,345.0,95,59.02
754,10,299.0,94,77.2892
731,11,44.0,91,11.06
755,12,56.0,94,20.929
758,7,3875.0,95,534.75
732,10,122.0,91,25.33
733,14,20.0,91,4.0
759,12,13.0,95,4.55
762,11,254.0,95,62.92
760,6,328.0,95,137.68
